session,page_nr,start_time
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,1,1651515325.2417989
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,2,1651515328.2096891
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,3,1651515329.0723321
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,4,1651515351.913698
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,5,1651515356.827649
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,6,1651515357.7795541
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,7,1651515364.522976
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,8,1651515370.91803
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,9,1651515372.810391
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,10,1651515378.6774132
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,11,1651515383.491454
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,12,1651515384.3785658
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,13,1651515391.123245
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,14,1651515397.808427
